명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
계방산자연농원,nan,강원특별자치도 평창군 용평면 지옆골길 42-8,계방산 자연농원은 저기압과 고기압이 만나 인체공학적으로 대기의 영향을 적게받아 인간이 살기에 가장 적합하다는 높이/ 해발 700m에 위치하고 있다.,nan,nan,13실,nan,nan,nan,14:00,11:00,033-332-9992,nan,nan,nan
키스멧코티지,nan,강원특별자치도 평창군 용평면 금당길 213-20,발길이 머무는 곳을 찾아서 편안한 휴식을 원한다면/ 그럼 숲속의 작은유럽 키스멧코티지로 발길을 돌리면 된다.,nan,nan,4동,(단독형),주차가능,nan,15:00,11:00,010-7708-6277,nan,nan,nan
우미정,nan,강원특별자치도 평창군 진부면 장전길 331,우미정은 울창한 송림을 뒤로 하고 있으며/ 집 앞으로는 시원한 계곡물이 흐르는 경치좋은 곳에 위치하고 있다.,nan,nan,6실,nan,nan,가능,14시 (문의시 더 빨리 입실 가능),12시,033-334-0739,nan,불가,nan
강변에서 황토콘도,033-462-0629,강원특별자치도 인제군 인제읍 내린천로 5384,청정지역 인제군 내린천에 위치한 ‘강변에서 황토콘도’ 는 황토로 나무로 지어진 기와집이다. 여행의 피로를 풀고 휴식과 건강을 얻어갈 수 있는 숙소다.시원한 계곡과 삼림욕을 즐길 수 있으며/ 래프팅/ 번지점프 등 스릴 있는 레포츠를 통해 멋진 추억을 만들 수 있다. 또한/ 빙어축제/ 내린천 축제 등 인제의 다양한 축제들을 즐기기에 좋으며/ 자작나무 숲도 들리기 좋다.,nan,26명,4실,8평형/ 10평형,가능,가능,15:00,익일 11:00,033-462-0629,"<a href=""http://www.hwangtoroom.com/"" target=""_blank"" title=""새창 : 강변에서 황토콘도 홈페이지로 이동"">http://www.hwangtoroom.com/</a>",nan,nan
방태산황토펜션,010-3899-2204,강원특별자치도 인제군 기린면 방태산길 119,"산과 계곡으로 둘러싸인 최고의 청정지역 강원 인제군에 황토로 지은 집으로 여름엔 시원하고 겨울엔 따뜻하다. 벽돌로 지은 일반 원룸형 단독콘도도 있다.
일자형 구조로/ 지붕은 항아리로 만들고 내부는 천정이 높으며 욕실/ 싱크대/ 옷걸이 등과 TV/ 냉장고/ 선풍기/ 식기 등을 갖추고 있다.
나무 정자 3개/ 철판 고기구이 시설 4개/ 수돗가 3곳/ 식당 등이 있으며 산에서 직접 호수로 연결한 2개의 물과 지하 100m에서 끌어올린 물 2곳이 있어 시원한 식수를 맛볼 수 있다. 또한  바로 앞 계곡물이어서 시원한 여름을 보낼 수 있다. 주변 볼거리로는 방태산자연휴양림/ 내린천래프팅/ 아침가리트레킹/ 방동약수터/ 곰배령 등이 있다.",nan,50명,12실,황토방/ 황토가족/ 캠핑룸/ 캠핑가족,주차가능,가능,14:00(성수기 15:00),12:00(성수기 11:00),010-3899-2204,"<a href=""http://www.bangtaesan.com"" target=""_blank"" title=""새창 : 방태산황토펜션 홈페이지로 이동"">http://www.bangtaesan.com</a>",nan,황토식당/ 바베큐장
강촌 느티나무마을펜션,033-261-0051,강원특별자치도 춘천시 남산면 강촌로 80-1,"강촌의 중심지에 2001년 부터 시작된 100년생 느티나무와 아름다운 정원을 가진 유럽 풍 콘도형 펜션이다. 물안개 뽀얀 북한강가에 자리잡고 있다. 강촌 전철역에서 도로를 따라 약 800m 걸어서 10분 쯤 내려오면 강촌랜드(바이킹놀이장) 옆 왼쪽에 있다. 강촌유원지 중심가에 자리 잡아 다양한 체험과 레저시설/ 편의시설/ 대중교통 등을 이용하기 편하다. 넓은 주차장과 꽃 나무정원이 어우러진 펜션으로  편안하게 쉬기 좋다.

※ 웰컴투춘천추진협의회 2014년 숙박 부문 서비스왕 표창패 수여 업소",nan,54명,16실,nan,가능,nan,14:00,익일 11:00,033-261-0051,"<a href=""http://www.nutitree.com"" target=""_blank"" title=""새창 : 강촌 느티나무마을펜션 홈페이지로 이동"">http://www.nutitree.com</a>",nan,nan
켄싱턴호텔 설악,033-635-4001,강원특별자치도 속초시 설악산로 998,켄싱턴호텔 설악은 설악산 국립공원 입구에서 차로 단 5분거리에 있다. 청초호/ 속초해수욕장/ 대포항등 속초의 주요 관광지가 차로 약 25분거리에 있다. 또한 차로 30분거리의 중앙시장 또는 아바이 마을에서 다양한 먹거리를 즐길 수 있다.<br>호텔 내에는 PC/ 복합기등을 무료로 이용할 수 있는 비즈니스 센터가 있으며 프런트 데스크에서는 환전 및 세탁서비스를 제공하고 있다. 전체 108개의 객실이 있으며 온돌객실등 다양한 규모와 유형의 객실이 준비되어 있다. 뿐만 아니라/ 일부 객실에서는 아름다운 설악산 전경을 감상 할 수 있다.,지상 9층/지하 1층,nan,108실,모던/ 클래식/ 로열/ 스위트,주차가능(250대),불가,15:00,11:00,1670-7463,"<a href=""http://www.kensington.co.kr"" target=""_blank"" title=""켄싱턴스타호텔 홈페이지로 이동"">http://www.kensington.co.kr</a>",nan,더퀸(레스토랑 2F)/ 애비로드(비스트로&바 9F)/ 테라스 BBQ(2F)
보궁민박,nan,강원특별자치도 평창군 진부면 오대산3길 47,오대산에서 내려오는 물이 깨끗하며 가까운 거리에 월정사도 있고 편안하게 휴식할 수 있는 펜션이다.,nan,nan,4실,황토5/ 황토3(작은 방)/ 솔향기2(중간 방)/ 솔향기1(큰 방),있음,nan,15시,11시,0507-1382-6616,nan,nan,없음
파레스관광호텔,062-222-2525,광주광역시 동구 중앙로160번길 13(황금동) 파레스관광호텔,파레스관광호텔은 광주광역시 충장로 번화가에 위치한 숙소로/ 근처에 상점과 식당 등이 밀집되어 있어 출장이나 여행 방문시 편하게 묵을 수 있다. 객실은 더블룸부터 스위트룸까지 다양하게 구성되어 있고 온돌룸도 있어 필요시 선택할 수 있다. 금남로4가역 지하철이 가까워 교통 접근성이 좋고 국립아시아문화전당/ 광주 예술의 거리 등 주요 관광지도 가깝다. 합리적인 가격으로 이용할 수 있어 가성비가 좋다.,지하 3층~지상 8층,nan,30,양실,가능,불가,14:00,12:00,가능,nan,불가,없음
더 케이 호텔 경주,054-745-8100,경상북도 경주시 엑스포로 45,더 케이 호텔 경주는 신라 천년의 고도인 경주 보문단지에 위치하고 있는 4성급 호텔로서 보문호수의 수려한 자연경관을 배경으로 쾌적한 환경을 갖추고 고객 여러분을 모시고 있다. 차별화된 행사 진행과 정성을 다하는 서비스/ 경주만이 가질 수 있는 자연경관과 각종 레포츠시설/ 그리고 신라천년고도의 유구한 문화유산으로 더욱 만족스러운 여행이 될 것이다.,본관 : 지하 1층 ~ 지상 9층<br />별관 : 지하 1층 ~ 지상 3층,nan,304실,nan,주차 가능,불가,15:00,익일 +11:00,054-745-8100,"<a href=""https://www.thek-hotel.co.kr"" target=""_blank"" title=""새창 : 더 케이 호텔 홈페이지로 이동"">https://www.thek-hotel.co.kr</a>",nan,한식당/ 커피숍/ 뷔페/ 단체식당
구름속의 산책 키즈풀빌라,010-8481-6483,강원특별자치도 홍천군 서면 팔봉산로 10,"숲이 숙소를 둘러싸고 있어 머무는 내내 상쾌하고 힐링되는 분위기를 즐길 수 있다. 4개 타입의 모든 방 안에는 아이들이 뛰놀 수 있는 정글짐과 온수풀이 있다.
전 객실 에어컨/ 코웨이정수기/ 비데/ 공기청정기/ 개별바베큐장이 구비되어 있어 어른들 또한 안락하게 쉴 수 있다.",약 5000평,nan,nan,온돌/ 온돌복층,주차 가능,가능,15:00,11:00,010-8481-6483,"<a href=""https://gaepan.modoo.at"" target=""_blank"" title=""새창 : 구름속의산책 홈페이지로 이동"">https://gaepan.modoo.at</a>",nan,카페/ 바베큐장
남현당,02-2659-8788,서울특별시 종로구 삼일대로 446-15(경운동),서울 종로구에 위치한 남현당은 나무로 지어진 ㄷ자 형태의 100살이 넘은 한옥 게스트하우스다. 한옥은 5개의 방과 3개의 욕실 겸 화장실/ 부엌/ 그리고 넒은 대청마루와 마당으로 구성되어 있다. 황토방 안에는 에어컨이 설치되어 있어 여름에는 시원하게 묵을 수 있다. 빵/ 커피/ 컵라면 등 간단한 조식을 제공한다. 숙소 인근에 창덕궁/ 종묘/ 조계사/ 광장시장/ 경복궁 등 주요 명소가 있어 여행을 편리하게 즐기기에 좋다.,nan,nan,1,양실/ 한실,불가,가능,15:00,11:00,가능(02-2659-8788),"<a href=""https://www.booking.com/hotel/kr/namhyundang-korean-traditional-house.ko.html?aid=363362"" target=_blank"" title=""남현당(으)로 이동"">https://www.booking.com/hotel/kr/namhyundang-korean-traditional-house.ko.html?aid=363362</a>",불가,있음
채울,nan,강원특별자치도 평창군 봉평면 버들개길 81-50,일상을 비우고 마음을 채울 수 있는 곳이다.<br>자연 속에 위치해있어 편안한 하루를 보낼 수 있다.,nan,nan,8실,해바라기/ 물망초/ 장미/ 자작나무/소나무/ 마가목/ 메밀꽃/ 너른자리,있음,가능,15시,11시,033-336-6400,nan,있음,없음
우리민박,nan,강원특별자치도 평창군 봉평면 태기로 493,'메밀 꽃 필 무렵'의 정취를 느끼며/ 여름엔 흥정계곡/ 금당계곡 겨울엔 스키장을 사계절 휴양관광지를 즐기수 있는 쉬어가는 쉼터/ 내 집같은 편안한 곳이다.,nan,nan,6실,1~6번 한실,있음,가능,14시,12시,010-6274-2000,nan,nan,nan
수정펜션,nan,강원특별자치도 평창군 대관령면 차항길 4,대관령면에 위치한 대관령수정펜션은 봄/ 여름/ 가을/ 겨울의 풍부한 사계절 체험을 즐기고 편안하게 쉬어갈 수 있는 따뜻한 쉼터이다.,nan,nan,5실,토파즈/크리스탈/페리도트/아쿠아마린/사파이어,7대,nan,14:00,11:00,033-333-8806,nan,nan,매점/편의점
문게스트하우스,02-745-8008/ 010-8704-9981,서울특별시 종로구 삼일대로32길 31-18(운니동),"운현궁 3분/ 북촌한옥마을 5분/ 창덕궁 5분/ 창경궁 10분. 이는 문게스트하우스에서 각 관광지까지 걸어갈 때 걸리는 시간이다. 문게스트하우스는 집 안에 문이 많아서 붙인 이름이다. 창문과 문을 헤아려 모두 176개라고 한다. 대문을 열고 들어가면/ ‘ㄷ’자 한옥이 마당을 감싸 안고 있다. 마당에는 나무 평상과 탁자가 있다. ‘ㄷ’자 한옥의 맞은 편에는 기와를 올린 담벼락이 있는데/ 담벼락에 사슴과 학/ 소나무/ 거북 등 한국적인 문양의 조각들로 아기자기하게 꾸며 놓았다. 담벼락을 따라 늘어선 화단에는 꽃들이 화사하게 피어 있고/ 멋스럽게 가꾼 분재도 모여 있다. 문게스트하우스의 주인장은 본인이 1974년부터 살았던 이 집을 보수해/ 2011년 9월부터 게스트하우스로 운영하기 시작했다.  
문게스트하우스는 본채와 별채로 이루어져 있다. 황토와 전통 한지로 시공한 전통 한옥으로 기본 난방은 온돌이지만/ 방마다 추위를 보완하기 위한 냉난방기가 설치되어 있다. 더불어 천장의 서까래 위로 40센티미터 두께의 황토가 깔려 있어서 여름에는 열을 빨아들여 시원하고/ 겨울에는 열기를 머금어 훈훈하다. 객실은 7개/ 화장실은 5개이고/ 화장실은 깔끔한 현대식이다. 본채 또는 별채를 통째로 예약해 사용하는 것도 가능하다. 
문게스트하우스에는 찾아오는 사람마다 반하는 공간이 있는데/ 바로 본채의 운현당이다. 운현당의 내부에는 공간을 나누는 문이 2개 있는데/ 모두 개방형으로 하나는 고려 시대 건축 양식인 분합문이고/ 다른 하나는 미닫이문이다. 그래서 이 문들을 모두 열면 커다란 한 공간이 된다. 보통 때는 분리된 공간이지만/ 필요한 때에는 문을 열어 행사를 치를 수 있기 때문에/ 단체 워크숍 등도 가능하다. 꽃 그림이 그려진 병풍/ 벽에 걸린 산수화와 붓글씨 등이 공간을 더욱 화려하고 멋스럽게 만든다. 덕분에 ‘남자의 자격’/ ‘인간의 조건’과 같은 TV 프로그램의 장소로도 사용되었다. 병풍/ 자개장 등이 한옥의 정취를 더하고/ 방마다 직접 사용할 수 있는 옛 등잔이 있어 운치를 더한다. 
문게트하우스에는 오전 11시부터 오후 3시까지 참여할 수 있는 체험 프로그램이 준비되어 있다. ‘다도’/ ‘한복 체험’/ ‘김치 만들기’/ ‘고추장 만들기’/ ‘전통악기 체험’/ ‘탁본 뜨기’/ ‘서예 체험’/ ‘부채에 난 그리기’ 등 종류가 다양하다. 한복 체험을 위해 왕의 의복부터 어우동 한복에 이르기까지 70여 벌의 한복과 액세서리 등을 마련해 두었다. 또한/ 지금은 퇴직했지만/ 고등학교 한문 선생님이었던 주인장이 직접 가르치는 서예 체험/ 부채에 난 그리기 등도 추천할 만하다.",78㎡/ 1층,최대 20명,7실,한실,1대 가능,간단한 토스트/ 씨리얼 가능,15:00,11:00,네이버/ 홈페이지/ 야놀자/ 여기어때/ 에어비앤비/ 아고다,"<a href=""http://www.moonguesthouse.com/booking"" target=""_blank"" title=""새창 : 문게스트하우스 홈페이지로 이동"">http://www.moonguesthouse.com/booking</a>",없음,있음
북촌마루 한옥 게스트하우스 [한국관광 품질인증/Korea Quality],010-3253-8751,서울특별시 종로구 창덕궁길 152,북촌 마루 한옥게스트하우스는 서울 종로 북촌2경과 3경 사이 언덕에 위치한 2층 한옥이다. 아침에는 간편 한식 아침상을 즐기며 여러 나라 손님들과 이야기꽃을 피울 수 있고/ 저녁에는 북촌마을에서 유일하게 있는 한옥 테라스에서 서울 시내 야경을 한눈에 볼 수 있다. 안국역에서 가까워 교통이 편리하고/ 인근에 북촌 8경/ 궁궐/ 인사동/ 청와대 등 주요 관광지가 있다.,약 125㎡/ 2층,10,3,한실,가능,불가,14:00,11:00,nan,http://www.bukchonmaru.com,가능,있음
솔밭개울펜션,nan,강원특별자치도 평창군 대화면 선애1길 38-5,답답한 공간을 떠나 대자연의 품속으로 떠나길 원한다면 소나무 아름다운 자연이 살아있는 곳/ 솔밭개울펜션으로 가볼 수 있다. 근처 계곡에서 물놀이도 가능하다. 또한 연계 관광지로 휘닉스파크가 있다.,nan,nan,6실,1호~6호,있음(15~20대),nan,14:00,11:00,033-332-8700,nan,nan,nan
파라곤모텔,010-4018-3466,경상남도 거제시 옥포로4길 35 (옥포동)파라곤모텔,nan,nan,nan,35,한실/양실,가능,불가,17:30,11:30,가능,nan,nan,nan
풍남헌[한국관광 품질인증/Korea Quality],063-286-7673,전북특별자치도 전주시 완산구 은행로 35 풍남헌,풍남헌은 전주한옥마을을 지키고 있는 600년 수령의 은행나무 옆에 있는 전통 양반 가옥을 개보수해 운영하는 한옥스테이다. 대청이 없고 툇마루를 넓게 짜 창을 달았다는 것이 이곳의 특징이다. 또한 고령에서 제작한 기와를 사용하고/ 한지에 옻칠을 하여 진한 황토빛 바닥을 완성하였다. 오래된 한국화와 병풍은 전통 양반 가옥의 옛 정취를 전한다. 주인이 직접 재배한 야생녹차를 맛볼 수 있는 체험 시간도 운영한다.,661m² /단층,60,17,한실,불가,불가,14:00,11:00,nan,http://poongnam.com,불가,없음
늘봄스테이[한국관광 품질인증/Korea Quality],063-231-3040,전북특별자치도 전주시 완산구 은행로 74-11(교동),전라북도 전주에 있는 여행가는 여행자와 여성/ 아이가 행복한 공간으로/ 한옥숙박과 더불어 십이교놀이/ 호박고누놀이 등 전통 사고놀이를 체험할 수 있는 공간이다. 객실마다 화상실 겸 욕실을 갖췄고/ 독채에는 주방이 있어 취사가 가능하다.,1층,26,5,한실,불가,가능,14:00,10:30,nan,https://yeohangga.modoo.at,불가,없음
임실필봉농악보존회 [한국관광 품질인증/Korea Quality],063-643-1902,전북특별자치도 임실군 강운로 272 필봉문화촌,임실필봉농악보존회는 필봉문화촌 명소인 한옥 ‘취락원’을 한옥스테이로 운영하고 있다. 취락원에서는 2인실부터 단체실까지 인원에 따라 숙박이 가능하다. 객실은 모두 11개로 객실마다 샤워를 할 수 있는 화장실이 갖춰 편의성을 높였다. 취사는 불가하다. 필봉문화촌 내부 식당에서 식사가 가능하고 그릴도 대여해준다. 매주 목~토요일에는 임실필봉농악을 테마로 상설 공연이 열린다. 인근에 옥정호/ 국립회문산자연휴양림 등이 있다.,대지 면적 49497.52㎡/ 건물 면적 3838㎡,60,14,한실,가능,불가,15:00,11:00,가능(063-643-1902/ 2901 / http://www.pilbong.co.kr/ ),http://www.pilbong.co.kr/,불가,있음
산에는 꽃이피네[한국관광 품질인증/Korea Quality],010-4612-4232,전라남도 나주시 동력길 20-1,나주시 도래한옥마을에 자리한 ‘산에는 꽃이피네’ 는 못을 하나도 사용하지 않고 양질의 목재로 지은 100여 년 된 고택이다. 객실마다 주방과 화장실을 갖췄고/ 단열에도 꼼꼼히 신경을 썼다. 고운 한지와 오랜 소품들은 아늑한 정취를 더하고/ 오래된 툇마루와 60년이 넘은 단풍나무는 세월의 맛을 선물한다. 동네에 문화재가 많아 주말에 주인장이 동네 안내를 해주기도 한다. 인근에 나주 메타세쿼이아 길이 있어 산림욕을 즐기기 좋다.,231㎡,8,4,한실,가능,가능,16:00,11:00,가능(010-4612-4232),http://sane.modoo.at/?link=b4ie6u35,불가,없음
쇼모텔,054-852-8666,경상북도 안동시 옥동3길 41-6 (옥동),nan,지상 5층/ 24객실,50,24,양실,가능,불가,15:00,11:00,가능,nan,가능,없음
톰지모텔,010-4840-3947,경상남도 진주시 순환로559번길 10-4 (평거동),nan,28객실,nan,4,양실,가능,불가,14:00,12:00,가능,nan,nan,nan
오크우드 프리미어 인천,032-726-2000,인천광역시 연수구 컨벤시아대로 165,"오크우드 프리미어 인천은 동북아시아의 떠오르는 경제허브인 인천자유경제구역 송도 국제업무단지의 중심부에 위치해 있다. 인천국제공항에서 20여분 거리의 편안한 위치에 자리 잡은 오크우드 프리미어 인천은 송도 국제도시의 랜드마크이자 국내 최고층 빌딩인 동북아 무역타워(NEATT)의 상층부에 위치해 최고의 전망을 자랑하며 비지니스를 위한 송도 컨벤시아/ 국제업무지구/ 바이오 연구단지는 물론 롯데몰/ 잭 니클라우스 골프클럽/ 인천 아트센터/ 센트럴파크/ 해돋이 공원 등과 같은 문화시설과 인접해 더욱 편리하다. 
넓은 면적과 수납공간을 자랑하는 423개의 객실은 가장 기본 타입인 스튜디오 타입부터 1/ 2/ 3/ 4 베드룸/ 펜트하우스까지 다양한 타입으로 선보인다. 하루부터 1년 이상의 장기 투숙까지 가능한 오크우드 프리미어 인천의 객실에는 냉장고/ 전자레인지/ 식기세척기 등 주방 시설이 완비되어 있고 대형 TV/ DVD/ 세탁기/ 건조기 등의 생활 가전까지 갖추고 있어 완벽한 주고 공간을 제공한다. 또한/ 레스토랑/ 비즈니스 센터/ 미팅룸/ 피트니스 센터/ 어린이 놀이방 등의 부대시설은 물론/ 일일 객실 정비 서비스/ 24시간 운영 프론트/ 룸서비스 등의 서비스를 함께 제공하고 있다.",지상 65층/지하 2층,nan,423실,스튜디오/ 1베드룸 스위트/ 2베드룸 스위트/ 베드룸 스위트/ 4베드룸 스위트/ 펜트하우스,주차 가능,가능,15:00,11:00,032-726-2000,"<a href=""http://www.oakwoodpremier.co.kr"" target=""_blank"" title=""새창 : 오크우드 프리미어 인천 홈페이지로 이동"">http://www.oakwoodpremier.co.kr</a>",nan,오크 레스로랑(36F)/ 파노라믹 65 바&다이닝(65F)/ 파노라믹65 카페(65F)
제주알(R)호텔,064-757-7734,제주특별자치도 제주시 서광로14길 5,제주알(R)호텔은 모던하고 심플한 객실을 합리적인 가격에 제공한다. 제주공항에서 차로 5분/ 시외버스터미널에서 1분 거리에 있어 접근성이 뛰어나고/ 제주 종합운동장에서 1분 거리라 합숙 훈련 시 최적의 요지이기도 하다. 객실은 도미토리부터 10인실까지 다양한 형태로 구성되어 있다. 카페/ 노래방 등 부대시설이 있고/ 로비에 공용노트북이 비치되어 있다. 단체여행객에 한해 픽업 서비스를 제공한다.,331㎡/ 5층,100,35,양실,가능,불가,16:00,11:00,nan,http://www.jejurhotel.com,가능,있음
